CUSTOMERNAME,PHONE,ADDRESSLINE1,ADDRESSLINE2,CITY,STATE,POSTALCODE,COUNTRY
The Sharp Gifts Warehouse,4085553659,3086 Ingle Ln.,,San Jose,CA,94217,USA
"Australian Collectables, Ltd",61-9-3844-6555,7 Allen Street,,Glen Waverly,Victoria,3150,Australia
"Dragon Souveniers, Ltd.",+65 221 7555,"Bronz Sok., Bronz Apt. 3/6 Tesvikiye",,Singapore,,79903,Singapore
"Stylish Desk Decors, Co.",(171) 555-0297,35 King George,,London,,WX3 6FW,UK
Mini Gifts Distributors Ltd.,4155551450,5677 Strong St.,,San Rafael,CA,97562,USA
Scandinavian Gift Ideas,0695-34 6555,?kergatan 24,,Boras,,S-844 67,Sweden
CAF Imports,+34 913 728 555,"Merchants House, 27-30 Merchant's Quay",,Madrid,,28023,Spain
Mini Creations Ltd.,5085559555,4575 Hillside Dr.,,New Bedford,MA,50553,USA
Enaco Distributors,(93) 203 4555,"Rambla de Catalu�a, 23",,Barcelona,,8022,Spain
"Saveley & Henriot, Co.",78.32.5555,"2, rue du Commerce",,Lyon,,69004,France
Collectable Mini Designs Co.,7605558146,361 Furth Circle,,San Diego,CA,91217,USA
giftsbymail.co.uk,(198) 555-8888,Garden House Crowther Way,,Cowes,Isle of Wight,PO31 7PJ,UK
Land of Toys Inc.,2125557818,897 Long Airport Avenue,,NYC,NY,10022,USA
Quebec Home Shopping Network,(514) 555-8054,43 rue St. Laurent,,Montreal,Quebec,H1J 1C3,Canada
Petit Auto,(02) 5554 67,Rue Joseph-Bens 532,,Bruxelles,,B-1180,Belgium
"Royal Canadian Collectables, Ltd.",(604) 555-4555,23 Tsawassen Blvd.,,Tsawassen,BC,T2F 8M4,Canada
Amica Models & Co.,011-4988555,Via Monte Bianco 34,,Torino,,10100,Italy
"AV Stores, Co.",(171) 555-1555,Fauntleroy Circus,,Manchester,,EC2 5NT,UK
La Rochelle Gifts,40.67.8555,"67, rue des Cinquante Otages",,Nantes,,44000,France
Danish Wholesale Imports,31 12 3555,Vinb'ltet 34,,Kobenhavn,,1734,Denmark
Classic Legends Inc.,2125558493,5905 Pompton St.,Suite 750,NYC,NY,10022,USA
"Oulu Toy Supplies, Inc.",981-443655,Torikatu 38,,Oulu,,90110,Finland
Euro Shopping Channel,(91) 555 94 44,"C/ Moralzarzal, 86",,Madrid,,28034,Spain
Alpha Cognac,61.77.6555,1 rue Alsace-Lorraine,,Toulouse,,31000,France
Gifts4AllAges.com,6175559555,8616 Spinnaker Dr.,,Boston,MA,51003,USA
